EF ID,IPCC 1996 Source/Sink Category,IPCC 2006 Source/Sink Category,Gas,Type of parameter,Description,Parameters / Conditions,Region / Regional Conditions,Value,Unit,Equation
120600,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.275,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120601,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.273,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120602,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.272,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120603,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.270,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120604,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.268,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120605,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.267,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120606,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.265,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120607,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.264,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120608,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.262,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120609,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.261,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120610,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.259,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120611,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.258,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120612,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.256,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120613,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.255,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120614,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.253,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120615,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.252,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120616,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.251,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120617,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.249,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120618,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.248,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120619,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.247,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120620,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.246,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120621,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.244,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120622,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.243,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120623,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1901 - 1925,,0.242,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120624,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.343,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120625,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.340,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120626,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.336,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120627,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.333,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120628,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.330,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120629,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.327,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120630,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.324,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120631,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.322,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120632,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.319,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120633,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.316,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120634,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.314,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120635,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.311,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120636,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.308,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120637,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.306,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120638,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.304,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120639,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.301,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120640,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.299,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120641,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.297,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120642,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.295,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120643,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.293,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120644,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.29,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120645,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.288,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120646,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.286,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120647,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.284,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120648,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.283,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120649,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.281,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120650,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1926 - 1950,,0.279,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120651,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.478,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120652,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.469,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120653,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.461,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120654,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.453,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
120655,"1B1c - Other (please specify)
","1.B.1.a.i.3 - Abandoned underground mines
","METHANE
",2006 IPCC default,Tier 1 Abandoned Underground Mines Emission Factor,Time interval when coal mines were abandoned: 1951 - 1975,,0.446,million m^3/mine/year,Equation 4.1.10 in Volume 2 of the 2006 IPCC Guidelines for National Greenhouse Gas Inventories
